Site,Library,File,SiteType,HistoryVersions,ThresholdKept,Removed,SpaceMB,LastModified,Action,RunId,RunMode,RunDate
https://contoso.sharepoint.com/sites/MarketingTeam,Archive,/sites/MarketingTeam/Archive/File_1.xlsx,Normal,73,9,64,45.07,2020-02-24 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Projects,/sites/MarketingTeam/Projects/File_2.docx,Normal,33,9,24,12.02,2019-05-11 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Shared Documents,/sites/MarketingTeam/Shared Documents/File_3.xlsx,Normal,70,9,61,77.1,2019-04-19 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Projects,/sites/MarketingTeam/Projects/File_4.docx,Normal,64,9,55,18.69,2022-02-13 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Documents,/sites/MarketingTeam/Documents/File_5.xlsm,Normal,51,9,42,99.1,2022-10-25 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Shared Documents,/sites/MarketingTeam/Shared Documents/File_6.xlsx,Normal,97,9,88,35.69,2023-04-06 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Archive,/sites/MarketingTeam/Archive/File_7.xlsx,Normal,165,9,156,170.85,2019-06-27 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Projects,/sites/MarketingTeam/Projects/File_8.docx,Normal,42,9,33,31.95,2023-03-31 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Archive,/sites/MarketingTeam/Archive/File_9.xlsx,Normal,171,9,162,292.36,2023-01-21 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Documents,/sites/MarketingTeam/Documents/File_10.pptx,Normal,16,9,7,61.56,2022-03-31 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Shared Documents,/sites/MarketingTeam/Shared Documents/File_11.csv,Normal,17,9,8,2.2,2024-02-01 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Archive,/sites/MarketingTeam/Archive/File_12.docx,Normal,52,9,43,15.96,2021-05-08 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Documents,/sites/MarketingTeam/Documents/File_13.docx,Normal,54,9,45,23.4,2021-09-29 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Reports,/sites/MarketingTeam/Reports/File_14.xlsx,Normal,80,9,71,233.91,2021-06-18 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Documents,/sites/MarketingTeam/Documents/File_15.docx,Normal,69,9,60,39.44,2022-07-16 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Documents,/sites/MarketingTeam/Documents/File_16.pptx,Normal,38,9,29,486.71,2022-07-12 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Reports,/sites/MarketingTeam/Reports/File_17.xlsx,Normal,112,9,103,248.0,2024-02-23 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Shared Documents,/sites/MarketingTeam/Shared Documents/File_18.xlsx,Normal,74,9,65,186.32,2021-12-12 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Reports,/sites/MarketingTeam/Reports/File_19.docx,Normal,113,9,104,41.68,2020-07-20 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Documents,/sites/MarketingTeam/Documents/File_20.pptx,Normal,107,9,98,251.27,2020-03-25 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Shared Documents,/sites/MarketingTeam/Shared Documents/File_21.xlsx,Normal,185,9,176,219.45,2019-09-18 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Projects,/sites/MarketingTeam/Projects/File_22.xlsx,Normal,70,9,61,98.62,2019-02-17 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Documents,/sites/MarketingTeam/Documents/File_23.docx,Normal,148,9,139,108.28,2022-10-25 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Reports,/sites/MarketingTeam/Reports/File_24.xlsx,Normal,51,9,42,58.11,2021-12-14 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
https://contoso.sharepoint.com/sites/MarketingTeam,Shared Documents,/sites/MarketingTeam/Shared Documents/File_25.pbix,Normal,75,9,66,3806.43,2022-05-07 00:00:00,RECYCLED,20260415_090000,PRODUCTION-RECYCLE,2026-04-15
